RAJ2000,DEJ2000,Ktmag,cz
187.06429,28.62030,7.805,661
38.55573,29.31127,7.825,1543
180.79036,44.53126,7.665,700
50.68454,-37.10379,7.730,1941
49.92116,-19.41136,7.553,1620
138.46037,-69.64500,7.765,1652
185.42699,14.59776,7.814,1098
113.71317,-69.28413,7.799,1367
182.40031,42.53419,7.848,958
204.51266,-17.88403,7.494,1355
209.46098,-43.93130,7.891,2425
189.35431,74.19189,7.748,1980
85.51990,69.37838,7.686,3934
186.90549,-39.33781,7.825,2934
215.26534,3.27099,7.816,1487
113.48438,-50.44302,7.819,1085
189.99742,61.60919,7.757,136
38.39312,-39.04506,7.772,1933
184.93866,12.79833,7.825,1009
190.98599,13.12635,7.726,1048
149.60246,-26.92660,7.856,2580
61.01133,-54.10006,7.830,1175
49.96339,-26.06059,7.819,1710
156.82657,28.50740,7.853,1314
173.14558,53.06783,7.756,993
183.21712,1.29968,7.909,1256
172.43512,-36.39130,7.869,2977
32.08808,10.99492,7.861,1735
157.79832,-46.25127,7.882,2822
8.30050,48.50874,7.140,-193
105.66829,-28.69725,7.850,2185
188.99037,27.95976,7.578,807
188.02586,11.17643,7.871,1342
49.56686,-66.49826,7.530,470
169.60532,58.78622,7.904,1704
326.06717,-75.11132,7.841,2381
199.72836,-21.03910,7.513,668
189.11247,11.43929,7.925,1142
194.86308,14.17105,7.907,1988
218.19521,49.45784,7.903,2096
181.50484,47.47836,7.800,555
41.49969,-7.57864,7.921,1435
177.15913,48.71082,7.883,967
300.86264,-55.94717,7.907,4434
64.39906,-62.78367,8.007,1304
145.64680,58.85121,7.906,1337
185.08968,5.38640,7.932,2711
332.11414,48.44078,7.913,1103
161.79169,72.83967,7.939,2837
225.23209,-7.45736,7.932,1894
172.53107,9.27663,7.903,1018
139.04623,-16.31273,7.957,2103
194.20375,-8.52529,7.923,1069
140.85019,-63.81256,7.946,2881
14.45378,30.35236,7.932,4942
199.74973,-47.90866,7.958,3005
308.58569,-31.98089,7.964,2791
175.24477,11.47112,7.936,990
154.97913,45.54969,7.775,667
305.20682,-48.23908,7.936,2958
111.76688,80.17807,7.690,2204
173.33823,47.02909,7.771,866
169.65051,57.99997,7.999,2034
140.36455,-11.90949,7.951,1793
339.35223,23.79833,7.999,1172
332.14288,-57.44259,7.913,1655
