Cluster,RAJ2000,DEJ2000,cz,e_cz,R,Mm
"A1983",223.20032916666665,16.489985277777777,13238,106,3.4,1
"A1983",223.1701458333333,16.501488055555555,35354,64,5.7,0
"A1983",223.1228833333333,16.466426388888888,14395,30,8.9,1
"A1983",223.11782916666664,16.51052194444444,17940,14,8.3,0
"A1983",223.23774999999998,16.55024444444444,56883,38,5.6,0
"A1983",223.28297916666665,16.592309444444442,13997,42,6.4,1
"A1983",223.24238749999998,16.62155222222222,13062,51,4.7,1
"A1983",223.5288083333333,16.46678472222222,14158,11,9.7,1
"A1983",223.52991249999997,16.529791666666664,13548,28,10.3,1
"A1983",223.50179999999997,16.527661111111108,69803,24,7.0,0
"A1983",223.4176333333333,16.51769694444444,35643,61,3.1,0
"A1983",223.41745833333331,16.519890277777776,35494,56,5.4,0
"A1983",223.36791249999996,16.600994444444442,56090,37,9.3,0
"A1983",223.44101249999997,16.624506666666665,45362,11,15.6,0
"A1983",223.53057083333331,16.61773583333333,50598,51,7.1,0
"A1983",223.4557458333333,16.66785361111111,13520,27,9.4,1
"A1983",223.52976666666663,16.66791222222222,12601,35,3.2,1
"A1983",223.4993958333333,16.685349999999996,67208,38,6.4,0
"A1983",223.35861249999996,16.601389444444443,88140,88,4.5,0
"A1983",223.3126708333333,16.627388611111108,14215,67,4.2,1
"A1983",223.40883749999998,16.640478888888886,12990,24,5.5,1
"A1983",223.28899166666665,16.669091388888887,12119,24,11.5,1
"A1983",223.2909708333333,16.68454361111111,14324,28,9.7,1
"A1983",223.40981666666664,16.70787944444444,45480,12,13.0,0
"A1983",223.4979958333333,16.726400555555553,45416,64,5.5,0
"A1983",223.3558958333333,16.730993055555555,12740,28,9.2,1
"A1983",223.43928749999998,16.764145277777775,13632,31,7.9,1
"A1983",223.51949999999997,16.71269194444444,16918,29,4.7,0
"A1983",223.52162916666663,16.769511944444442,17002,37,3.1,0
"A1983",223.52754999999996,16.793197499999998,90844,45,5.7,0
