08 28 57.42 +46 32 12.80 38603  03 1 2
08 28 58.04 +45 01 42.06 42552  51 1 1
08 29 06.74 +44 28 14.16 44204  48 1 1
08 29 07.77 +47 17 37.82 38869  09 1 1
08 29 09.61 +45 00 49.10 43797  45 1 1
08 29 16.17 +44 56 10.10 42888  27 1 1
08 29 17.93 +45 01 22.12 42702  48 1 1
08 29 18.51 +46 23 59.57 38467  04 1 2
08 29 22.74 +44 30 11.09 44204  39 1 1
08 29 24.08 +47 40 34.03 37992  03 1 2
08 29 25.60 +46 41 05.53 38238  10 1 2
08 29 25.87 +46 19 20.86 38580  15 1 1
08 29 30.66 +47 03 20.95 38183  06 1 2
08 29 32.33 +47 25 52.00 37784  05 1 2
08 29 35.41 +44 52 36.05 44288  51 1 1
08 29 35.70 +47 02 55.32 38395  10 1 2
08 29 38.41 +46 31 46.96 38587  09 1 2
08 29 40.68 +46 38 56.72 38197  07 1 2
08 29 46.76 +46 38 43.08 37742  06 1 2
08 29 51.63 +46 49 09.66 38005  09 1 2
08 29 52.21 +47 25 37.92 37936  03 1 2
08 30 00.39 +44 41 29.08 42723  45 1 1
08 30 00.48 +44 40 26.51 42726  42 1 1
08 30 11.41 +46 26 43.55 38051  08 1 2
08 30 13.32 +45 00 19.91 43785  51 1 1
08 30 16.04 +46 40 02.57 38557  08 1 1
08 30 19.50 +45 00 02.84 43251  57 1 1
08 30 20.31 +45 56 39.19 38162  02 1 1
