pdb_id,h1_death_radius
2RH1,5.532960414886475
2RH1,5.532833576202393
2RH1,5.411531925201416
2RH1,7.663836479187012
2RH1,5.523890495300293
2RH1,5.320401668548584
2RH1,6.339651584625244
2RH1,5.3605475425720215
2RH1,5.403265953063965
2RH1,5.305902004241943
2RH1,5.438272953033447
2RH1,5.438401222229004
2RH1,5.366878032684326
2RH1,5.396174430847168
2RH1,5.329963684082031
2RH1,5.330836772918701
2RH1,5.595944881439209
2RH1,5.520491600036621
2RH1,5.320401668548584
2RH1,5.293760776519775
2RH1,5.433718681335449
2RH1,5.320164680480957
2RH1,5.3834733963012695
2RH1,5.438924789428711
2RH1,5.420642375946045
2RH1,5.394857406616211
2RH1,5.280144691467285
2RH1,5.5299201011657715
2RH1,5.389715671539307
2RH1,5.22922945022583
2RH1,5.463592052459717
2RH1,6.007500171661377
2RH1,5.280144691467285
2RH1,5.3605475425720215
2RH1,5.433718681335449
2RH1,5.352781772613525
2RH1,5.435268402099609
2RH1,5.364067554473877
2RH1,5.40921688079834
2RH1,5.205033779144287
2RH1,5.423416614532471
2RH1,5.3700642585754395
2RH1,5.390108108520508
2RH1,5.328108787536621
2RH1,5.393486022949219
2RH1,5.405416011810303
2RH1,5.478713512420654
2RH1,5.304046630859375
2RH1,5.387147903442383
2RH1,5.399309158325195
2RH1,5.302468776702881
2RH1,5.353395462036133
2RH1,5.426548004150391
2RH1,5.342097759246826
2RH1,5.3657989501953125
2RH1,5.420844554901123
2RH1,5.477827072143555
2RH1,5.330836772918701
2RH1,5.364067554473877
2RH1,5.334959983825684
2RH1,5.352606296539307
2RH1,5.387975215911865
2RH1,5.293760776519775
2RH1,5.639125823974609
2RH1,5.264029026031494
2RH1,5.433900833129883
2RH1,5.328108787536621
2RH1,5.259174346923828
2RH1,5.460921287536621
2RH1,5.164736270904541
2RH1,5.302468776702881
2RH1,5.344796180725098
2RH1,5.080268859863281
2RH1,5.4434943199157715
2RH1,5.364126205444336
2RH1,5.164736270904541
2RH1,5.493371486663818
2RH1,5.390963077545166
2RH1,5.261962890625
2RH1,5.261962890625
2RH1,5.251277923583984
2RH1,9.008960723876953
2RH1,5.356822490692139
2RH1,5.344796180725098
2RH1,5.271674633026123
2RH1,4.962295055389404
2RH1,5.385013580322266
2RH1,5.342512130737305
2RH1,5.363232135772705
2RH1,5.323140621185303
2RH1,5.389002799987793
2RH1,5.195734024047852
2RH1,5.352781772613525
2RH1,5.448550224304199
2RH1,5.507174968719482
2RH1,5.693416595458984
2RH1,7.263331890106201
2RH1,5.205033779144287
2RH1,5.195734024047852
2RH1,5.510998725891113
2RH1,7.3588433265686035
2RH1,5.357731342315674
2RH1,8.1149263381958
2RH1,5.259174346923828
2RH1,5.388490676879883
2RH1,5.429779529571533
2RH1,5.336608409881592
2RH1,9.254951477050781
2RH1,5.264029026031494
2RH1,5.362528324127197
2RH1,5.30934476852417
2RH1,5.465053081512451
2RH1,5.30934476852417
2RH1,5.346068859100342
2RH1,5.646670818328857
2RH1,5.354673862457275
2RH1,5.494307994842529
2RH1,5.347420692443848
2RH1,5.396873474121094
2RH1,5.122308731079102
2RH1,5.360621929168701
2RH1,5.357926845550537
2RH1,5.331569194793701
2RH1,4.820030212402344
2RH1,5.235601902008057
2RH1,5.349690914154053
2RH1,5.411692142486572
2RH1,5.14823579788208
2RH1,5.376858711242676
2RH1,5.207254409790039
2RH1,5.080268859863281
2RH1,5.22922945022583
2RH1,5.699887275695801
2RH1,5.313325881958008
2RH1,5.291213512420654
2RH1,4.846649646759033
2RH1,5.969320774078369
2RH1,5.554903984069824
2RH1,5.335871696472168
2RH1,8.268791198730469
2RH1,5.5381388664245605
2RH1,8.802144050598145
2RH1,5.656245708465576
2RH1,5.478249549865723
2RH1,6.239497661590576
2RH1,5.417088508605957
2RH1,5.487003326416016
2RH1,5.74590539932251
2RH1,10.090494155883789
2RH1,8.12307071685791
2RH1,9.456536293029785
2RH1,5.637681484222412
2RH1,5.261946201324463
1L2Y,6.116964817047119
1L2Y,6.322647571563721
1L2Y,5.74009895324707
1L2Y,6.226439476013184
